,Organization Name,Organization Name URL,Transaction Name,Transaction Name URL,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Funding Type,Organization Industries,Announced Date,Lead Investors,Investor Names,Funding Stage,Money Raised,Money Raised Currency,Money Raised (in USD),Pre-Money Valuation,Pre-Money Valuation Currency,Pre-Money Valuation (in USD),Equity Only Funding,Organization Description,Diversity Spotlight,Organization Website,Organization Revenue Range,Funding Status,Number of Funding Rounds,Organization Location,Year,Organization Name Modified,id,name modified,url,stagename_x,stagename_y,Analise descarte,Classification,Time Since Announced
168,CannaPag,https://www.crunchbase.com/organization/cannapag,Angel Round - CannaPag,https://www.crunchbase.com/funding_round/cannapag-angel--6bbeabe6,28323.0,BRL,5739.0,Angel,"Financial Services, Information Technology",2024-01-17,,Murilo Chaves Gouvea,Seed,28323.0,BRL,5739.0,100000.0,BRL,20261.0,Yes,Cannapag operates as a digital wallet for the cannabis market.,,cannapag.com.br,,Seed,1,"Paraíba, Paraiba, Brazil, South America",2024,cannapag,,,,Nao tivemos acesso,,,Nao tivemos acesso,196
169,W2X | World to explorer,https://www.crunchbase.com/organization/w2x-world-to-explorer,Seed Round - W2X | World to explorer,https://www.crunchbase.com/funding_round/w2x-world-to-explorer-seed--49294504,2000000.0,USD,2000000.0,Seed,"Financial Services, FinTech, Information Technology, Software",2024-01-17,,,Seed,2000000.0,USD,2000000.0,80000000.0,USD,80000000.0,Yes,"SAAS, Mobile APP, Crypto Currency, Blockchain, Token, Enviorment projects, Startup, crowdfunding",,w2x.com.br,,Seed,1,"São Paulo, Sao Paulo, Brazil, South America",2024,w2x|worldtoexplorer,,,,Nao tivemos acesso,,,Nao tivemos acesso,196
170,LINA,https://www.crunchbase.com/organization/lina-9f6a,Seed Round - LINA,https://www.crunchbase.com/funding_round/lina-9f6a-seed--9f563ee1,1500000.0,USD,1500000.0,Seed,"Banking, FinTech, Software",2024-01-12,MSW Capital,MSW Capital,Seed,1500000.0,USD,1500000.0,,,,Yes,LINA infratech is to ensure the protection of the data and information.,,linapay.io,,Seed,1,"São Paulo, Sao Paulo, Brazil, South America",2024,lina,22014.0,lina,lina.co,Registered,Registered,,Indefinido,201
171,BINAHKI,https://www.crunchbase.com/organization/binahki,Grant - BINAHKI,https://www.crunchbase.com/funding_round/binahki-grant--2bae0e59,965610.0,BRL,192103.0,Grant,Software,2024-01-12,,FINDESLAB,,190000.0,BRL,39141.0,,,,No,"Monitor your machines in the palm of your hand and scan your industrial plant, connecting any type of machine in minutes.",,binahki.com.br,,Seed,6,"Limeira, Sao Paulo, Brazil, South America",2024,binahki,21664.0,binahki,binahki.com.br,Discard,Discard,,Indefinido,201
172,Gabriel,https://www.crunchbase.com/organization/gabriel-c249,Venture Round - Gabriel,https://www.crunchbase.com/funding_round/gabriel-c249-series-unknown--c5eb3bc3,21085088.0,USD,21085088.0,Venture - Series Unknown,"Computer Vision, Internet of Things, Physical Security",2024-01-11,"Astella, Qualcomm Ventures","Astella, Globo Ventures, Qualcomm Ventures",,35000000.0,BRL,7185088.0,,,,Yes,We are on a quest to serve dangerous cities with safe and transparent streets for everyone.,,gabriel.com.br,$1M to $10M,,5,"São Paulo, Sao Paulo, Brazil, South America",2024,gabriel,11082.0,gabriel,gabriel.com.br,Discard,Discard,Não tivemos acesso,Nao tivemos acesso,202
173,Turbi,https://www.crunchbase.com/organization/turbi-car-on-demand,Venture Round - Turbi,https://www.crunchbase.com/funding_round/turbi-car-on-demand-series-unknown--a6faadcd,112162229.0,USD,112162229.0,Venture - Series Unknown,"Automotive, Car Sharing, Mobile",2024-01-11,ARC Capital,"ARC Capital, Clave Capital",,150000000.0,BRL,30793234.0,,,,Yes,"Turbi is a digital shared mobility company that makes car rental experience practical, cheaper and unique",,turbi.com.br,$1M to $10M,,8,"São Paulo, Sao Paulo, Brazil, South America",2024,turbi,479.0,turbi,turbi.com.br,Portfolio,Portfolio,,Portfolio,202
174,Aeco Tecnologia Financeira,https://www.crunchbase.com/organization/aeco-securitizadora,Pre Seed Round - Aeco Tecnologia Financeira,https://www.crunchbase.com/funding_round/aeco-securitizadora-pre-seed--43f5cda2,900000.0,BRL,181321.0,Pre-Seed,Finance,2024-01-10,,KV Participações,Seed,500000.0,BRL,102193.0,3000000.0,BRL,613158.0,Yes,Aeco Tecnologia Financeira is a Fintech investment arm of AECO SECURITIZADORA S.A.,,aecotecnologia.com.br,,Seed,2,"Maringá, Parana, Brazil, South America",2024,aecotecnologiafinanceira,,,,Nao tivemos acesso,,,Nao tivemos acesso,203
175,Conta Simples,https://www.crunchbase.com/organization/conta-simples,Series B - Conta Simples,https://www.crunchbase.com/funding_round/conta-simples-series-b--552f8f67,67781476.0,USD,67781476.0,Series B,"Financial Services, FinTech, Information Technology, Internet, Software, Venture Capital",2024-01-09,Base10 Partners,"Base10 Partners, big_bets, Broadhaven Capital Partners, DOMO.VC, FJ Labs, JAM Fund, Valor Capital Group, Y Combinator",Early Stage Venture,200000000.0,BRL,40761415.0,,,,Yes,"Conta Simples provides a solution that combines expense management software, corporate cards, and checking account for Latam SMBs.",,contasimples.com,$10M to $50M,Early Stage Venture,8,"São Paulo, Sao Paulo, Brazil, South America",2024,contasimples,3340.0,contasimples,contasimples.com,Onboarding,Portfolio,,Portfolio,204
179,D1 Search,https://www.crunchbase.com/organization/d1-search,Venture Round - D1 Search,https://www.crunchbase.com/funding_round/d1-search-series-unknown--08669983,4987400.0,USD,4987400.0,Venture - Series Unknown,,2024-01-03,,,,4512100.0,USD,4512100.0,,,,Yes,D1 Search is a diversified company.,,,,,2,"São Paulo, Sao Paulo, Brazil, South America",2024,d1search,,,,Nao tivemos acesso,,,Nao tivemos acesso,210
180,openpbl.ai,https://www.crunchbase.com/organization/openpbl,Angel Round - openpbl.ai,https://www.crunchbase.com/funding_round/openpbl-angel--79fdd7d5,384000.0,USD,384000.0,Angel,"Artificial Intelligence (AI), Continuing Education, Corporate Training, EdTech, Education, Training",2024-01-02,Joao Perez,Joao Perez,Seed,200000.0,USD,200000.0,5000000.0,USD,5000000.0,Yes,The problem-based learning platform that uses AI to reduce the costs of developing professional soft skills.,,openpbl.ai,$1M to $10M,Seed,4,"São Paulo, Sao Paulo, Brazil, South America",2024,openpbl.ai,20779.0,openpbl.ai,openpbl.ai,Zero,Zero,,Em análise,211
181,Ampfox,https://www.crunchbase.com/organization/ampfox,Pre Seed Round - Ampfox,https://www.crunchbase.com/funding_round/ampfox-pre-seed--944c7ccd,125000.0,USD,125000.0,Pre-Seed,"Energy Management, Fleet Management, Internet",2024-01-01,,Antler,Seed,125000.0,USD,125000.0,,,,Yes,"Ampfox excel in scaling electric vehicle operations, employing tailored AI models to optimize fleet availability and minimize cost.",,ampfox.co,,Seed,1,"São Paulo, Sao Paulo, Brazil, South America",2024,ampfox,26387.0,ampfox,ampfox.co,Fazer Teste de Aderência,,,Nao tivemos acesso,212
182,ZNIT,https://www.crunchbase.com/organization/znit,Pre Seed Round - ZNIT,https://www.crunchbase.com/funding_round/znit-pre-seed--cf86e06e,125000.0,USD,125000.0,Pre-Seed,"Artificial Intelligence (AI), Internet",2024-01-01,,Antler,Seed,125000.0,USD,125000.0,,,,Yes,ZNIT is a company that provides sustainability reporting and analysis solutions for private financial markets.,,znit.ai,,Seed,1,"São Paulo, Sao Paulo, Brazil, South America",2024,znit,26040.0,znit,znit.ai,Opportunity,,,Em análise,212
183,Vizineo,https://www.crunchbase.com/organization/vizineo,Pre Seed Round - Vizineo,https://www.crunchbase.com/funding_round/vizineo-pre-seed--518f6166,125000.0,USD,125000.0,Pre-Seed,"Online Portals, Real Estate",2024-01-01,,Antler,Seed,125000.0,USD,125000.0,,,,Yes,Vizineo is a SAAS platform that focuses on condominium management for property manager and resident.,,vizineo.com,,Seed,1,"Ipanema, Rio de Janeiro, Brazil, South America",2024,vizineo,,,,Nao tivemos acesso,,,Nao tivemos acesso,212
184,Govy,https://www.crunchbase.com/organization/govy-1397,Pre Seed Round - Govy,https://www.crunchbase.com/funding_round/govy-1397-pre-seed--15170e32,150000.0,USD,150000.0,Pre-Seed,"Artificial Intelligence (AI), Software",2024-01-01,,Antler,Seed,150000.0,USD,150000.0,,,,Yes,"Govy is a software company that uses AI to solve complex sales problems for city halls, states and the federal administration",,govy.com.br,,Seed,1,"São Paulo, Sao Paulo, Brazil, South America",2024,govy,26039.0,govy,,Fazer Teste de Aderência,,,Nao tivemos acesso,212
185,Onstoq,https://www.crunchbase.com/organization/onstoq,Pre Seed Round - Onstoq,https://www.crunchbase.com/funding_round/onstoq-pre-seed--e8b055a0,125000.0,USD,125000.0,Pre-Seed,"E-Commerce, Retail",2024-01-01,,Antler,Seed,125000.0,USD,125000.0,,,,Yes,Onstoq is a professional supplies store.,,onstoq.com,,Seed,1,"São Paulo, Sao Paulo, Brazil, South America",2024,onstoq,,,,Nao tivemos acesso,,,Nao tivemos acesso,212
186,Arca,https://www.crunchbase.com/organization/arca-f36a,Pre Seed Round - Arca,https://www.crunchbase.com/funding_round/arca-f36a-pre-seed--76139245,150000.0,USD,150000.0,Pre-Seed,"Artificial Intelligence (AI), Recycling, Waste Management",2024-01-01,,Antler,Seed,150000.0,USD,150000.0,,,,Yes,"Arca is company that revolutionizes recycling with AI and blockchain, offering sustainable investments for both profit and the planet.",,arca.eco,,Seed,1,"São Paulo, Sao Paulo, Brazil, South America",2024,arca,26035.0,arca,arca.eco,Fazer Teste de Aderência,,,Nao tivemos acesso,212
187,taxly,https://www.crunchbase.com/organization/taxly-0dd2,Pre Seed Round - taxly,https://www.crunchbase.com/funding_round/taxly-0dd2-pre-seed--831ea167,1200000.0,BRL,247224.0,Pre-Seed,Software,2024-01-01,,ACE Ventures,Seed,1200000.0,BRL,247224.0,,,,Yes,Tax is complex. We make it simple.,,taxly.com.br,,Seed,2,"São Paulo, Sao Paulo, Brazil, South America",2024,taxly,23811.0,taxly,taxly.com.br,Opportunity,Opportunity,,Em análise,212
188,Loonic,https://www.crunchbase.com/organization/loonic,Angel Round - Loonic,https://www.crunchbase.com/funding_round/loonic-angel--828dcef1,90000.0,USD,90000.0,Angel,Human Resources,2024-01-01,,,Seed,90000.0,USD,90000.0,,,,Yes,Loonic is a payroll service that it is natively enabled to integrate with other HR tools.,,loonic.app,,Seed,1,"San Paulo, Sao Paulo, Brazil, South America",2024,loonic,,,,Nao tivemos acesso,,,Nao tivemos acesso,212
189,Active Ware,https://www.crunchbase.com/organization/active-ware,Seed Round - Active Ware,https://www.crunchbase.com/funding_round/active-ware-seed--4e309128,500000.0,USD,500000.0,Seed,"Dental, E-Commerce, Manufacturing, Medical Device",2024-01-01,,,Seed,500000.0,USD,500000.0,,,,Yes,Active Ware develops and sells diagnostic imaging equipment.,,activeware.com.br,$1M to $10M,Seed,1,"São Paulo, Sao Paulo, Brazil, South America",2024,activeware,,,,Nao tivemos acesso,,,Nao tivemos acesso,212
190,Flapper Technologies,https://www.crunchbase.com/organization/flapper,Series A - Flapper Technologies,https://www.crunchbase.com/funding_round/flapper-series-a--78ce2ab3,10011561.0,USD,10011561.0,Series A,"Air Transportation, Business Travel, Marketplace, Sharing Economy",2024-06-20,,"Arien Invest, Confrapar, DXA Invest, Investidores.VC, SMU Investimentos",Early Stage Venture,,,,,,,Yes,Flapper is a global on-demand air charter platform. It catalyzes the entry of all-electric aircraft to urban- and regional air mobility.,,flyflapper.com,$1M to $10M,Early Stage Venture,9,"Belo Horizonte, Minas Gerais, Brazil, South America",2024,flappertechnologies,1843.0,flapper,flyflapper.com,Discard,Discard,Indefinido,Indefinido,41
191,Stockash,https://www.crunchbase.com/organization/stockash,Angel Round - Stockash,https://www.crunchbase.com/funding_round/stockash-angel--32ac785c,30000.0,USD,30000.0,Angel,"Financial Services, FinTech, Personal Finance",2024-06-01,Anjos do Brasil,Anjos do Brasil,Seed,30000.0,USD,30000.0,,,,Yes,Stockash empowers startup employees and founders by unlocking value from stock option plans through innovative financing solutions.,,stockash.com,,Seed,1,"São Paulo, Sao Paulo, Brazil, South America",2024,stockash,25641.0,stockcash,stockash.com,P.Comitê 01,,Indefinido,Indefinido,60
192,BrandLovrs,https://www.crunchbase.com/organization/brandlovrs,Seed Round - BrandLovrs,https://www.crunchbase.com/funding_round/brandlovrs-seed--dcfd7582,8687045.0,USD,8687045.0,Seed,Software,2024-04-17,Kaszek,"Canary, Kaszek",Seed,35000000.0,BRL,6687045.0,,,,Yes,Brandlovrs empowers creators to earn more income from multiple partners while managing their earnings through a digital wallet.,,brandlovrs.com,$1M to $10M,Seed,2,"São Paulo, Sao Paulo, Brazil, South America",2024,brandlovrs,124.0,brandlovers,brandlovrs.com,Discard,Discard,,Falso Negativo,105
193,UME Financial Services,https://www.crunchbase.com/organization/ume-financial-services,Series A - UME Financial Services,https://www.crunchbase.com/funding_round/ume-financial-services-series-a--d8f48d7a,,,,Series A,Financial Services,2024-04-05,,FJ Labs,Early Stage Venture,,,,,,,Yes,Ume is a credit platform capable of reaching competitive prices and creating an economic environment to make credit simple and democratic.,,ume.com.br,,Early Stage Venture,2,"São Paulo, Sao Paulo, Brazil, South America",2024,umefinancialservices,19028.0,ume,ume.com.br,Discard,,Lost to another players,Lost to another players,117
194,BITi9 - Business IT Innovation,https://www.crunchbase.com/organization/biti9-business-it-innovation,Seed Round - BITi9 - Business IT Innovation,https://www.crunchbase.com/funding_round/biti9-business-it-innovation-seed--84b7be50,900000.0,BRL,160766.0,Seed,"Business Information Systems, Cloud Data Services, Information Technology, Robotics",2024-04-05,,,Seed,,,,,,,Yes,"BITi9 offers Robbi9, a solution that automates administrative processes focused on increasing productivity and reducing costs",,biti9.com.br,Less than $1M,Seed,2,"São Paulo, Sao Paulo, Brazil, South America",2024,biti9-businessitinnovation,5241.0,biti9businessitinnovation,biti9.com.br,Discard,Discard,,Indefinido,117
195,Lexter.ai,https://www.crunchbase.com/organization/lexter-ai,Series A - Lexter.ai,https://www.crunchbase.com/funding_round/lexter-ai-series-a--d064252c,4254415.0,USD,4254415.0,Series A,"Artificial Intelligence (AI), Legal Tech, SaaS, Software",2024-04-03,Alexia Ventures,"Alexia Ventures, Canary, Grão, Scale-Up Ventures",Early Stage Venture,16000000.0,BRL,3174415.0,,,,Yes,First SaaS platform that helps legal teams in Brazil gain efficiency by automating documents' analysis and revision using AI,,lexter.ai,,Early Stage Venture,4,"São Paulo, Sao Paulo, Brazil, South America",2024,lexter.ai,18713.0,lexter,lexter.ai,Discard,Discard,,Lost to another players,119
196,umgrauemeio,https://www.crunchbase.com/organization/sintecsys,Venture Round - umgrauemeio,https://www.crunchbase.com/funding_round/sintecsys-series-unknown--ce746e20,5288656.0,USD,5288656.0,Venture - Series Unknown,"Carbon Capture, Environmental Engineering, Forestry",2024-03-26,,"Baraúna Venture Capital, Indicator Capital, Rural Ventures, The Yield Lab LATAM",,3600000.0,USD,3600000.0,,,,Yes,"Umgrauemeio developed Pantera, a fire management platform to translate the foundations of fire fighting into tech solutions.",,umgrauemeio.com,$1M to $10M,,4,"Jundiaí, Sao Paulo, Brazil, South America",2024,umgrauemeio,3682.0,sintecsys,umgrauemeio.com,Discard,Zero,,Dúvida,127
197,IZI App,https://www.crunchbase.com/organization/izi-app,Seed Round - IZI App,https://www.crunchbase.com/funding_round/izi-app-seed--3ddf9d7d,4000000.0,BRL,799536.0,Seed,"Apps, Information Technology, Mobile Apps",2024-03-22,DOMO.VC,DOMO.VC,Seed,4000000.0,BRL,799536.0,,,,Yes,IZI App is a mobile application for retail sales analysis.,,izi.app,$1M to $10M,Seed,1,"Fortaleza, Mato Grosso do Sul, Brazil, South America",2024,iziapp,9943.0,izi.app,izi.app,Portfolio,,,Portfolio,131
198,Daki,https://www.crunchbase.com/organization/daki,Venture Round - Daki,https://www.crunchbase.com/funding_round/daki-series-unknown--6b3ba790,105066883.0,USD,105066883.0,Venture - Series Unknown,"Delivery, Food and Beverage, Mobile Apps",2024-01-24,4equity - Media Ventures,4equity - Media Ventures,,25000000.0,BRL,5066883.0,,,,Yes,Daki is a mobile application that delivers purchases in seconds.,,soudaki.com,,,4,"São Paulo, Sao Paulo, Brazil, South America",2024,daki,18049.0,https://www.soudaki.com/,soudaki.com,Discard,Registered,,Nao tivemos acesso,189
199,Plano,https://www.crunchbase.com/organization/plano-f4d1,Pre Seed Round - Plano,https://www.crunchbase.com/funding_round/plano-f4d1-pre-seed--b84316b4,2200000.0,BRL,446157.0,Pre-Seed,"B2C, Consulting, Financial Services, FinTech",2024-01-20,,"Anjos do Brasil, Bossanova Investimentos, FEA Angels, Levain Ventures, Poli Angels, Quintal Ventures, Sai do Papel, Westwood Capital",Seed,2200000.0,BRL,446157.0,,,,Yes,Plano brings financial education for people to achieve financial goals.,,planofp.com.br,$1M to $10M,Seed,4,"São Paulo, Sao Paulo, Brazil, South America",2024,plano,18878.0,planofintech,planofp.com.br,P.Comitê 02,P.Comitê 02,,Em análise,193
200,Fintalk AI,https://www.crunchbase.com/organization/fintalk-0554,Seed Round - Fintalk AI,https://www.crunchbase.com/funding_round/fintalk-0554-seed--a1208935,2000981.0,USD,2000981.0,Seed,"Artificial Intelligence (AI), Customer Service, Debt Collections, E-Commerce, Field Support, Sales Automation, Software",2024-01-19,,Marcelo Peano,Seed,,,,,,,Yes,"Fintalk is an AI startup focused on Human Interaction for large corporations, reducing human need on call centers, field services and beyond",,fintalk.ai,$1M to $10M,Seed,4,"São Paulo, Sao Paulo, Brazil, South America",2024,fintalkai,23376.0,fintalk.ai,fintalk.ai,Registered,Registered,,Nao tivemos acesso,194
201,Fluna,https://www.crunchbase.com/organization/fluna,Seed Round - Fluna,https://www.crunchbase.com/funding_round/fluna-seed--6ada88d8,511000.0,USD,511000.0,Seed,"Apps, Information Technology, Internet, Professional Services, Software, Web Design, Web Development",2024-01-15,,,Seed,511000.0,USD,511000.0,,,,Yes,Fluna is an easy to use No-Code Platform that accelerates your development by up to 10 times.,,fluna.io,,Seed,1,"Belo Horizonte, Minas Gerais, Brazil, South America",2024,fluna,21660.0,fluna_io,fluna.io,Opportunity,Opportunity,,Em análise,198
202,LINA,https://www.crunchbase.com/organization/lina-9f6a,Seed Round - LINA,https://www.crunchbase.com/funding_round/lina-9f6a-seed--9f563ee1,1500000.0,USD,1500000.0,Seed,"Banking, FinTech, Software",2024-01-12,MSW Capital,MSW Capital,Seed,1500000.0,USD,1500000.0,,,,Yes,LINA infratech is to ensure the protection of the data and information.,,linapay.io,,Seed,1,"São Paulo, Sao Paulo, Brazil, South America",2024,lina,19012.0,linapay,linapay.io,Discard,Registered,,Indefinido,201
203,deco.cx,https://www.crunchbase.com/organization/deco-cx,Seed Round - deco.cx,https://www.crunchbase.com/funding_round/deco-cx-seed--78b5ba26,2700000.0,USD,2700000.0,Seed,Developer Tools,2024-01-09,MAYA Capital,"Crivo Ventures, FJ Labs, Lanx Capital, MAYA Capital",Seed,2200000.0,USD,2200000.0,,,,Yes,deco.cx is a digital experience platform that makes it easy to build high-performance ecommerce storefronts.,,deco.cx,,Seed,4,"Rio De Janeiro, Rio de Janeiro, Brazil, South America",2024,deco.cx,21956.0,deco,deco.cx,Opportunity,Opportunity,,Lost to another players,204
